Product_Name,Sub_Fund_Name,Issuer,Auth_Date,Doc,Deriv_Fund,Product_ID,Sub_Fund_ID,doc_url
BlackRock Global Funds (AAR239),Sustainable Global Bond Income Fund (BOD049),BlackRock (Luxembourg) S.A.,17/4/2019,Offering Documents,No,AAR239,BOD049,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOD049&docType=OD
ChinaAMC Select Fund (AVL899),ChinaAMC Select Money Market Fund (BNY627),China Asset Management (Hong Kong) Limited,18/3/2019,Offering Documents,No,AVL899,BNY627,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNY627&docType=OD
ICBC Credit Suisse Investment Funds (BAX623),ICBC Credit Suisse China Focused Equity Fund (BNW256),ICBC Credit Suisse Asset Management (International) Company Limited,14/3/2019, ,No,BAX623,BNW256,
ICBC Credit Suisse Investment Funds (BAX623),ICBC Credit Suisse Global Fixed Income Fund (BNW257),ICBC Credit Suisse Asset Management (International) Company Limited,14/3/2019, ,No,BAX623,BNW257,
Schroder International Selection Fund (AEU509),Multi-Asset Growth and Income (BNY171),Schroder Investment Management (Europe) S.A.,7/3/2019,Offering Documents,No,AEU509,BNY171,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNY171&docType=OD
T. Rowe Price Funds SICAV (BGZ799),Asian Ex-Japan Equity Fund (BNU609),T. Rowe Price (Luxembourg) Management S.a r.l.,25/2/2019,Offering Documents,No,BGZ799,BNU609,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNU609&docType=OD
T. Rowe Price Funds SICAV (BGZ799),Emerging Local Markets Bond Fund (BNU610),T. Rowe Price (Luxembourg) Management S.a r.l.,25/2/2019,Offering Documents,Yes,BGZ799,BNU610,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNU610&docType=OD
T. Rowe Price Funds SICAV (BGZ799),Global Aggregate Bond Fund (BNU611),T. Rowe Price (Luxembourg) Management S.a r.l.,25/2/2019,Offering Documents,Yes,BGZ799,BNU611,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNU611&docType=OD
T. Rowe Price Funds SICAV (BGZ799),Japanese Equity Fund (BNU612),T. Rowe Price (Luxembourg) Management S.a r.l.,25/2/2019,Offering Documents,No,BGZ799,BNU612,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNU612&docType=OD
T. Rowe Price Funds SICAV (BGZ799),Science and Technology Equity Fund (BNU613),T. Rowe Price (Luxembourg) Management S.a r.l.,25/2/2019,Offering Documents,No,BGZ799,BNU613,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNU613&docType=OD
T. Rowe Price Funds SICAV (BGZ799),US High Yield Bond Fund (BNU614),T. Rowe Price (Luxembourg) Management S.a r.l.,25/2/2019,Offering Documents,No,BGZ799,BNU614,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNU614&docType=OD
BOCHK Wealth Creation Series (AYX421),BOCHK All Weather Greater Bay Area Strategy Fund (BNX662),BOCHK Asset Management Limited,21/2/2019,Offering Documents,No,AYX421,BNX662,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNX662&docType=OD
GaoTeng WeFund (BND024),GaoTeng WeInvest Money Market Fund (BNW892),GaoTeng Global Asset Management Limited,13/2/2019,Offering Documents,No,BND024,BNW892,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNW892&docType=OD
GFI Unit Trust Series (BNR582),,GF International Investment Management Limited,12/2/2019,Offering Documents,,BNR582,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD
Amundi Funds (AGC783),China Equity (BNU344),Amundi Luxembourg S.A.,11/2/2019,Offering Documents,No,AGC783,BNU344,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNU344&docType=OD
Amundi Funds (AGC783),Pioneer Global Equity (BNU341),Amundi Luxembourg S.A.,11/2/2019,Offering Documents,No,AGC783,BNU341,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNU341&docType=OD
Amundi Funds (AGC783),Pioneer US Equity Research Value (BNU342),Amundi Luxembourg S.A.,11/2/2019,Offering Documents,No,AGC783,BNU342,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNU342&docType=OD
Amundi Funds (AGC783),Sustainable Top European Players (BNU343),Amundi Luxembourg S.A.,11/2/2019,Offering Documents,No,AGC783,BNU343,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNU343&docType=OD
Allianz Global Investors Fund (AOY394),Allianz China A-Shares (BNV851),Allianz Global Investors GmbH,8/2/2019,Offering Documents,No,AOY394,BNV851,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNV851&docType=OD
